ID,Data ID,Station Name,UTM_x,UTM_y
1,1,ARCHERS POST,351624.283,70807.012
2,2,ARDENCAPLE FARM,306006.828,9696.368
3,3,CASTLE FOREST STN,311885.880,-44864.115
4,4,CHOGORIA FOREST STN,343375.885,-26140.191
5,5,CHUKA FOREST STN,344923.385,-34827.829
6,6,COLCHECCIO,255409.160,68804.307
7,7,DOL DOL DAO,295573.860,43649.450
8,8,EL KARAMA,266605.408,21860.415
9,9,EMBORI FARM,316071.142,7766.903
10,10,EMBU MET STN,328296.589,-55517.866
11,11,ENASOIT FARM,285614.156,26288.022
12,12,GATHIURU FOREST STN,290496.978,-10743.906
13,13,HOMBE FOREST STN,290267.591,-38458.220
14,14,IRANGI FOREST STN,331263.832,-38102.665
15,15,ISIOLO DAO,342591.808,39500.950
16,16,JACOBSON FARM,282214.515,-4472.858
17,17,JUNCTION (EWASO NAROK),260384.335,56118.819
18,18,KABARU FOREST STN,294393.108,-30783.867
19,19,KAGURU,313829.824,3225.582
20,20,KALALU (NRM),295548.955,9332.622
21,21,KAMWAKI FARM,295459.123,15008.102
22,22,KARURI (NRM),313829.824,3225.582
23,23,KINAMBA MOW,201815.868,46867.185
24,24,KISIMA FARM,323860.751,12663.724
25,25,LAMURIA MET STN,263186.069,-13994.060
26,26,LARIAK FOREST STN,200582.168,36102.932
,27,LOGILADO NRM,NA,NA
27,28,LOLDAIGA FARM,290891.723,23732.173
28,29,LOLDOTO FARM,279438.733,19340.939
29,30,LOLMARIK FARM,307781.793,11497.237
30,31,LORUKU FARM,286629.463,-1193.201
31,32,MARALAL DC,244619.875,122312.890
32,33,MARIENE CRS,349303.747,-934.868
33,34,MATANYA (NRM),272189.060,-6557.398
34,35,MERU FOREST STN,346982.919,6439.139
35,36,MOGWONI RANCH,275763.207,25543.060
36,37,MPALA FARM,266641.229,36040.935
37,38,MUGIE RANCH,231969.411,78649.877
38,39,MUKENYA FARM,257178.990,27211.960
39,40,MUKOGODO (NRM),284539.729,42749.591
40,41,MUNYAKA (NRM),283657.913,-19717.522
41,42,MURINGATO FOREST STN,271022.590,-44344.936
42,43,MUTARA ADC FARM,241943.260,12128.697
43,44,MWEA IRRIGATION SCHEME,315496.863,-76827.970
44,45,NANYUKI FOREST STN,293596.516,-7507.608
45,46,NANYUKI KAF,280873.636,4724.147
,,NANYUKI MOW,-0.133333,36.866667
46,47,NARO MORU FG POST,289002.157,-19495.680
47,48,NARO MORU FOREST STN,292602.178,-23403.605
48,49,NARO MORU GATE STN,293829.019,-18976.110
49,50,NARO MORU MET STN,301090.032,-18557.794
50,51,NDARAGWA FOREST STN,224981.382,-6978.324
51,52,NGENIA B,299952.311,9622.501
,53,NGENIA NRM,NA,NA
52,54,NICOLSON FARM,280194.115,-9476.650
53,55,NYERI MOW,271638.160,-45743.216
54,56,OL ARABEL FOREST STN,194353.309,30686.705
55,57,OL BOLOSAT FOREST STN,203375.330,-5723.982
56,58,OL DONYO FARM,309910.742,10674.956
57,59,OL JOGI FARM,270990.540,34572.776
58,60,OL JORO OROK FTC,208445.534,-831.718
59,61,OL MYSOR FARM,239206.310,46166.692
60,62,OL PEJETA FARM,255941.571,7052.592
61,63,ONTULILI FOREST STN,296237.952,2954.155
,64,PYRAMID OL JOGI,NA,NA
62,65,RAGATI FOREST STN,295190.631,-41743.776
63,66,RUMURUTI MOW,227029.399,29875.370
,67,RUMURUTI NRM,NA,NA
64,68,SATIMA FARM,278424.828,-16068.172
65,69,SEGERA PLANTATIONS,264858.568,19719.889
66,70,SHAMATA,224926.775,-22497.912
,71,SIRAJI NRM,NA,NA
,72,SIRIMA NRM,NA,NA
67,73,SOLIO RANCH,263894.931,-27370.785
68,74,SOUTH MARMANET FOREST STN,207597.701,5215.428
69,75,SUGUROI ESTATE,237764.433,-2818.956
70,76,TELEKI (MT KENYA),310445.725,-18075.287
,77,TELESWANI NRM,NA,NA
71,78,THARUA FARM,264679.851,-12003.895
72,79,TIMAU MARANIA,328143.946,9831.226
73,80,TRENCH FARM,284461.442,4286.224
,,,,
,,,,
,,,,