variety,altitude,yield_kg_acre,days_to_maturity,verified_days_to_maturity,verified_bags_per_90kg_acre,verified_yield_kg_acre,source,date
H6218,Highland,5040,175,185,56,5040,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H6213,Highland,4680,175,185,52,4680,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H6210,Highland,4500,175,185,50,4500,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H629,Highland,4320,175,185,48,4320,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H628,Highland,4140,165,165,46,4140,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H626,Highland,3780,165,165,42,3780,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H625,Highland,3600,165,165,40,3600,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H614,Highland,3420,175,175,38,3420,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H516,"Lowland, medium altitude and transition",2520,120,105,28,2520,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
DH01,Dryland,1350,110,80,16,1440,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
DH02,Dryland,1350,110,85,18,1620,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
DH03,Dryland,1350,110,100,22,1980,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
DH04,800-1200,1710,110,100,24,2160,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H6243,"Lowland, medium altitude and transition",,,125,32,2880,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H520,"Lowland, medium altitude and transition",,,125,32,2880,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H517,"Lowland, medium altitude and transition",,,125,30,2700,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019
H522,"Lowland, medium altitude and transition",,,105,26,2340,https://web.archive.org/web/20190819125927/http://kenyaseed.com/gallery/maize/,August 19 2019